index,text,confidence
1058,-,0.796
1059,=,0.2845
1060,-,0.5974
1061,-,0.452
1062,-,0.6261
1063,-,0.4633
1064,-,0.8803
1065,TITITE,0.8389
1066,-,0.6181
1067,-,0.8245
1068,1,0.4405
1069,1,0.624
1070,-,0.7314
1071,-,0.5912
1072,-,0.3385
1073,1,0.6126
1074,,0.7949
1075,1,0.6973
1076,1,0.6609
1077,-,0.9337
1078,=,0.748
1079,*,0.139
1080,-,0.7779
1081,1,0.47
1082,L,0.4579
1083,#,0.7888
1084,-,0.8147
1085,=,0.493
1086,I,0.5809
1087,1,0.4475
1088,L,0.232
1089,1,0.5785
1090,F,0.2191
1091,BEE,0.4442
1092,L=E,0.5881
1093,NEE,0.5502
1094,I,0.4661
1095,-,0.797
1096,=,0.7158
1097,-,0.3727
1098,E,0.3461
1099,-,0.4546
1100,==L,0.4737
1101,-,0.9317
1102,:E,0.2943
1103,-,0.6306
1104,-,0.9384
1105,=,0.4653
1106,EE,0.4589
1107,BT,0.2153
1108,ET,0.2476
1109,R,0.2026
1110,-,0.8073
1111,-,0.7729
1112,IERRT,0.2043
1113,-,0.8627
1114,=,0.7233
1115,=,0.3094
1116,l,0.2847
1117,=,0.876
1118,1,0.6898
1119,-,0.3498
1120,EBILTE,0.4399
1121,-,0.7904
1122,BITE,0.4312
1123,T,0.2901
1124,TE,0.1635
1125,EI,0.2571
1126,ITIE,0.2289
1127,E,0.4446
1128,=,0.2599
1129,-,0.732
1130,1,0.617
1131,BI,0.332
1132,l,0.4141
1133,-,0.6004
1134,L,0.542
1135,E,0.3175
1136,E,0.6971
1137,TEEIT,0.2073
1138,E,0.3221
1139,ummummm,0.1754
1140,-,0.7176
1141,-,0.7801
1142,-,0.8147
1143,1,0.958
1144,EERETEEETET,0.3191
1145,-,0.7033
1146,1,0.4179
1147,I,0.6617
1148,-,0.2948
1149,-,0.7365
1150,=,0.3856
1151,-,0.8984
1152,-,0.5397
1153,1,0.8762
1154,=,0.3701
1155,-,0.9718
1156,E,0.2041
1157,-,0.7407
1158,-,0.9042
1159,,0.4934
1160,=,0.3434
1161,-,0.7896
1162,1,0.65
1163,-,0.6558
1164,-,0.9503
1165,L,0.428
1166,,0.7309
1167,DHTHIE,0.2945
1168,EITITEET,0.3154
1169,1,0.309
1170,TIITE,0.4696
1171,I,0.3742
1172,-,0.6859
1173,-,0.7445
1174,-,0.4755
1175,-,0.8617
1176,I,0.5105
1177,-,0.756
1178,-,0.8758
1179,-,0.6179
1180,-,0.3566
1181,-,0.9175
1182,1,0.7588
1183,TTE,0.3098
1184,1,0.4406
1185,1,0.5366
1186,-,0.7958
1187,=,0.2675
1188,-,0.5676
1189,I,0.5444
1190,=,0.3408
1191,-,0.5975
1192,1,0.5365
1193,-,0.3229
1194,-,0.9361
1195,-,0.8554
1196,-,0.4443
1197,-,0.9682
1198,i,0.8251
1199,1,0.3711
1200,-,0.9884
1201,-,0.8643
1202,-,0.7242
1203,I,0.4295
1204,l,0.5175
1205,El,0.4901
1206,-,0.8558
1207,1,0.3966
1208,-,0.9145
1209,-,0.6851
1210,TTOR,0.1949
1211,L,0.8596
1212,I,0.4175
1213,1-,0.4082
1214,TE,0.2319
